127.0.0.1 - - [18/Sep/2023:23:46:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:46:14 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:46:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:50:28 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:50:45 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:51:16 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:51:35 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:52:38 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:53:35 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:53:45 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:55:58 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [18/Sep/2023:23:56:19 +0530] "GET /Practical%207%20Scripting%20Elements/index.jsp HTTP/1.1" 200 389
